1402200186.0,1402201200.0
1402201200.0,1402202400.0
1402202400.0,1402203600.0
1402203600.0,1402204800.0
1402204800.0,1402206000.0
1402206000.0,1402207200.0
1402207200.0,1402208400.0
1402208400.0,1402209600.0
1402209600.0,1402210800.0
1402210800.0,1402212000.0
1402212000.0,1402213200.0
1402213200.0,1402214400.0
1402214400.0,1402215600.0
1402215600.0,1402216800.0
1402216800.0,1402218000.0
1402218000.0,1402219200.0
1402219200.0,1402220400.0
1402220400.0,1402221600.0
1402221600.0,1402222800.0
1402222800.0,1402224000.0
1402224000.0,1402225200.0
1402225200.0,1402226400.0
1402232400.0,1402233600.0
1402233600.0,1402234800.0
1402234800.0,1402236000.0
1402236000.0,1402237200.0
1402237200.0,1402238400.0
1402238400.0,1402239600.0
1402239600.0,1402240800.0
1402240800.0,1402242000.0
1402242000.0,1402243200.0
1402243200.0,1402244400.0
1402244400.0,1402245600.0
1402245600.0,1402246800.0
1402246800.0,1402248000.0
1402248000.0,1402249200.0
1402249200.0,1402250400.0
1402250400.0,1402251600.0
1402251600.0,1402252800.0
1402252800.0,1402254000.0
1402254000.0,1402255200.0
1402255200.0,1402256400.0
1402256400.0,1402257600.0
1402257600.0,1402258800.0
1402258800.0,1402260000.0
1402260000.0,1402261200.0
1402261200.0,1402262400.0
1402262400.0,1402263275.0
1402270115.0,1402270800.0
1402270800.0,1402272000.0
1402272000.0,1402273200.0
1402273200.0,1402274400.0
1402274400.0,1402275600.0
1402275600.0,1402276800.0
1402276800.0,1402278000.0
1402278000.0,1402279200.0
1402280400.0,1402281600.0
1402281600.0,1402282800.0
1402282800.0,1402284000.0
1402284000.0,1402285200.0
1402285200.0,1402286400.0
1402286400.0,1402287600.0
1402287600.0,1402288800.0
1402288800.0,1402290000.0
1402290000.0,1402291200.0
1402291200.0,1402292400.0
1402292400.0,1402293600.0
1402293600.0,1402294800.0
1402294800.0,1402296000.0
1402296000.0,1402297200.0
1402297200.0,1402298400.0
1402298400.0,1402299600.0
1402299600.0,1402300800.0
1402300800.0,1402302000.0
1402302000.0,1402303200.0
1402303200.0,1402304400.0
1402304400.0,1402305600.0
1402305600.0,1402306800.0
1402306800.0,1402308000.0
1402308000.0,1402309200.0
1402309200.0,1402310400.0
1402311600.0,1402312800.0
1402312800.0,1402314000.0
1402314000.0,1402315200.0
1402315200.0,1402316400.0
1402316400.0,1402317600.0
1402317600.0,1402318800.0
1402318800.0,1402320000.0
1402320000.0,1402321200.0
1402321200.0,1402322400.0
1402322400.0,1402323600.0
1402323600.0,1402324800.0
1402324800.0,1402326000.0
1402326000.0,1402327200.0
1402327200.0,1402328223.0
1402348099.0,1402348800.0
1402348800.0,1402350000.0
1402350000.0,1402351200.0
1402351636.0,1402352400.0
1402352400.0,1402353600.0
1402353600.0,1402354800.0
1402354800.0,1402356000.0
1402356000.0,1402357200.0
1402357675.0,1402358400.0
1402358400.0,1402359600.0
1402359600.0,1402360800.0
1402360800.0,1402362000.0
1402362000.0,1402363200.0
1402363200.0,1402364400.0
1402364400.0,1402365600.0
1402365600.0,1402366800.0
1402366800.0,1402368000.0
1402368000.0,1402369200.0
1402369200.0,1402370400.0
1402370400.0,1402371600.0
1402371600.0,1402372800.0
1402372800.0,1402374000.0
1402374000.0,1402375200.0
1402375200.0,1402376400.0
1402376400.0,1402377600.0
1402396800.0,1402398000.0
1402398000.0,1402399200.0
1402399200.0,1402400123.0
1402402800.0,1402404000.0
1402404000.0,1402405200.0
1402405200.0,1402406400.0
1402406400.0,1402407600.0
1402407600.0,1402408800.0
1402408800.0,1402410000.0
1402410000.0,1402411200.0
1402411200.0,1402412400.0
1402412400.0,1402413600.0
1402413600.0,1402414800.0
1402414800.0,1402416000.0
1402416000.0,1402417200.0
1402417200.0,1402418400.0
1402418400.0,1402419600.0
1402428554.0,1402429200.0
1402429200.0,1402430400.0
1402430400.0,1402431600.0
1402431600.0,1402432800.0
1402432800.0,1402434000.0
1402436400.0,1402437600.0
1402437600.0,1402438800.0
1402438800.0,1402440000.0
1402440000.0,1402441200.0
1402441200.0,1402442400.0
1402442400.0,1402443600.0
1402443600.0,1402444800.0
1402444800.0,1402446000.0
1402446000.0,1402447200.0
1402447200.0,1402448400.0
1402448400.0,1402449600.0
1402449600.0,1402450800.0
1402450800.0,1402452000.0
1402452000.0,1402453200.0
1402453200.0,1402454400.0
1402454400.0,1402455600.0
1402455600.0,1402456800.0
1402456800.0,1402458000.0
1402458000.0,1402459200.0
1402459200.0,1402460400.0
1402460400.0,1402461600.0
1402461600.0,1402462800.0
1402462800.0,1402464000.0
1402464000.0,1402465200.0
1402465200.0,1402466400.0
1402466400.0,1402467600.0
1402467600.0,1402468800.0
1402468800.0,1402470000.0
1402470000.0,1402471200.0
1402471200.0,1402472400.0
1402472400.0,1402473600.0
1402473600.0,1402474800.0
1402474800.0,1402476000.0
1402476000.0,1402477200.0
1402477200.0,1402478400.0
1402478400.0,1402479600.0
1402479600.0,1402480800.0
1402480800.0,1402482000.0
1402482000.0,1402483200.0
1402483200.0,1402484400.0
1402484400.0,1402485600.0
1402485600.0,1402486800.0
1402486800.0,1402488000.0
1402488000.0,1402489200.0
1402489200.0,1402490400.0
1402490400.0,1402491406.0
1402498183.0,1402498800.0
1402498800.0,1402500000.0
1402500000.0,1402501200.0
1402501200.0,1402502400.0
1402502400.0,1402503600.0
1402503600.0,1402504800.0
1402504800.0,1402505790.0
1402511388.0,1402512000.0
